Fighters,SA,SD,KO,SS,GI,y,Ypred,Ypredn,FP,TP,FN,TN,
Khabib Nurmagomedov,1.75,0.65,0.28,1.77,1.11,26,25.755,26,0,26,0,0,26
Conor Mcgregor,4.66,0.54,0.68,3.55,0.03,20,21.55,22,2,20,0,4,26
Dustin Poirer,4.36,0.53,0.39,3.67,0.16,21,21.984,22,1,21,0,4,26
Israel Adesanya,3.11,0.56,0.59,3.99,0,23,23.173,24,1,23,0,2,26
Sean O Malley,3.52,0.62,0.63,4.01,0.01,25,23.966,24,0,24,1,1,26
Islam Makhachev,1.27,0.61,0.19,3.14,0.41,25,24.401,25,0,25,0,1,26
Jon Jones,2.22,0.64,0.36,3.54,0.14,26,23.443,24,0,24,2,0,26
Justin Gaethje,7.5,0.53,0.69,4.01,0,22,21.051,22,0,22,0,4,26
Max Holloway,4.75,0.59,0.34,3.97,0.01,20,20.616,21,1,20,0,5,26
Belal Muhammed,3.64,0.57,0.19,3.72,0.08,23,19.681,20,0,20,3,3,26
Leon Edwards,2.34,0.54,0.28,3.71,0.07,23,20.847,21,0,21,2,3,26
Kamaru Usman,2.74,0.54,0.38,3.46,0.14,22,21.803,22,0,22,0,4,26
Sean Strickland,4.33,0.62,0.32,4.02,0.02,21,21.69,22,1,21,0,4,26
Robert Whittaker,3.45,0.59,0.28,3.86,0.01,20,20.382,21,1,20,0,5,26
Dricus Du Plessis,4.77,0.55,0.39,3.49,0.28,24,23.174,24,0,24,0,2,26
Petr Yan,4.36,0.58,0.32,3.43,0.09,20,19.361,20,0,20,0,6,26
Aljamin Sterling,2.41,0.58,0.11,3.25,0.22,22,20.66,21,0,21,1,4,26
Alexander Volkanovski,3.44,0.58,0.43,3.58,0.09,23,22.021,23,0,23,0,3,26
Magomed Ankalaev ,2.25,0.59,0.5,3.2,0.06,23,21.244,22,0,22,1,3,26
Johnny Walker,2.83,0.44,0.55,3.62,0.04,19,20.281,21,2,19,0,5,26
Gilbert Burns,3.42,0.54,0.21,3.55,0.16,20,20.433,21,1,20,0,5,26
Paulo Costa,6.38,0.47,0.65,3.84,0.01,21,19.671,20,0,20,1,5,26
Ciryl Gane,2.19,0.63,0.43,3.96,0.02,22,23.502,24,2,22,0,2,26
Khamzat Chimaev,3.46,0.42,0.46,1.97,1.28,26,25.761,26,0,26,0,0,26
Alex Pereira,3.65,0.5,0.64,3.94,0.01,21,22.508,23,2,21,0,3,26
Georges St Pierre,1.4,0.72,0.29,2.92,0.63,24,25.616,26,2,24,0,0,26
Tony Ferguson,4.41,0.55,0.34,3.85,0.03,19,19.92,20,1,19,0,6,26
BJ Penn,3.2,0.56,0.22,3.15,0.11,13,17.337,18,5,13,0,8,26
Nate Diaz,3.77,0.52,0.15,3.56,0.13,16,18.227,19,3,16,0,7,26
